"ItemYear","Y","N"
1927,0,1
1929,0,1
1930,0,3
1931,4,4
1932,0,4
1933,1,7
1934,1,6
1935,2,7
1936,0,9
1937,2,12
1938,1,8
1939,5,12
1940,6,12
1941,4,11
1942,3,9
1943,1,7
1944,3,7
1945,0,11
1946,3,14
1947,1,8
1948,0,15
1949,1,11
1950,1,9
1951,4,8
1952,0,13
1953,2,20
1954,2,10
1955,7,15
1956,3,11
1957,2,13
1958,3,11
1959,4,15
1960,3,13
1961,1,11
1962,4,12
1963,2,12
1964,4,13
1965,2,10
1966,0,10
1967,4,10
1968,5,8
1969,3,17
1970,0,19
1971,1,19
1972,3,14
1973,3,15
1974,2,12
1975,3,9
1976,2,9
1977,3,7
1978,0,15
1979,2,15
1980,2,18
1981,2,10
1982,2,15
1983,4,13
1984,3,13
1985,4,15
1986,2,15
1987,3,16
1988,7,18
1989,2,14
1990,3,12
1991,3,10
1992,3,12
1993,3,6
1994,2,14
1995,5,5
1996,3,9
1997,1,11
1998,4,5
1999,3,5
2000,4,7
2001,9,6
2002,6,4
